v/(nD)	v/(ΩR)	Ct	Cp	Cs	Tc	Pc	η	η*	stalled	v	rpm	Power	Thrust	Torque
[-]	[-]	[-]	[-]	[-]	[-]	[-]	[%]	[%]	[%]	[m/s]	[1/min]	[MW]	[kN]	[kNm]
7.640	2.432	0.183156	3.800986	5.849438	0.007990	0.021705	36.81	97.44	9.00	652.03	2400	13.133	7.4149	52.254
7.660	2.438	0.183417	3.816674	5.859921	0.007960	0.021624	36.81	97.44	9.00	653.74	2400	13.187	7.4255	52.469
7.680	2.445	0.183677	3.832283	5.870427	0.007930	0.021543	36.81	97.44	9.00	655.44	2400	13.241	7.4361	52.684
7.700	2.451	0.183934	3.847951	5.880914	0.007900	0.021463	36.81	97.44	9.00	657.15	2400	13.295	7.4465	52.899
7.720	2.457	0.184189	3.863672	5.891383	0.007870	0.021384	36.80	97.43	9.00	658.86	2400	13.349	7.4568	53.115
7.740	2.464	0.184444	3.879407	5.901846	0.007840	0.021305	36.80	97.43	9.00	660.56	2400	13.404	7.4671	53.332
7.760	2.470	0.184694	3.895195	5.912292	0.007810	0.021227	36.79	97.43	9.00	662.27	2400	13.458	7.4772	53.549
7.780	2.476	0.184950	3.910946	5.922748	0.007781	0.021149	36.79	97.42	9.00	663.98	2400	13.513	7.4876	53.765
7.800	2.483	0.185192	3.926907	5.933138	0.007751	0.021072	36.78	97.42	9.00	665.68	2400	13.568	7.4974	53.985
7.820	2.489	0.185441	3.942822	5.943542	0.007722	0.020996	36.78	97.42	9.00	667.39	2400	13.623	7.5075	54.204
7.840	2.496	0.185691	3.958689	5.953958	0.007693	0.020919	36.78	97.42	9.00	669.10	2400	13.678	7.5176	54.422
7.860	2.502	0.185937	3.974624	5.964353	0.007664	0.020843	36.77	97.42	9.00	670.80	2400	13.733	7.5275	54.641
7.880	2.508	0.186179	3.990616	5.974729	0.007635	0.020768	36.76	97.41	0.00	672.51	2400	13.788	7.5374	54.861
7.900	2.515	0.186422	4.006670	5.985086	0.007606	0.020694	36.76	97.41	0.00	674.22	2400	13.843	7.5472	55.081
7.920	2.521	0.186661	4.022726	5.995440	0.007578	0.020620	36.75	97.41	0.00	675.92	2400	13.899	7.5569	55.302
7.940	2.527	0.186905	4.038742	6.005806	0.007550	0.020546	36.74	97.41	0.00	677.63	2400	13.954	7.5667	55.522
7.960	2.534	0.187139	4.054916	6.016123	0.007521	0.020473	36.74	97.40	0.00	679.34	2400	14.010	7.5762	55.745
7.980	2.540	0.187380	4.071021	6.026459	0.007493	0.020400	36.73	97.40	0.00	681.05	2400	14.066	7.5860	55.966
8.000	2.546	0.187611	4.087268	6.036753	0.007465	0.020328	36.72	97.40	0.00	682.75	2400	14.122	7.5953	56.189
8.020	2.553	0.187846	4.103501	6.047049	0.007437	0.020257	36.71	97.40	0.00	684.46	2400	14.178	7.6048	56.412
8.040	2.559	0.188077	4.119762	6.057335	0.007409	0.020186	36.70	97.39	0.00	686.17	2400	14.234	7.6142	56.636
8.060	2.566	0.188305	4.136088	6.067602	0.007381	0.020115	36.70	97.39	0.00	687.87	2400	14.291	7.6234	56.860
8.080	2.572	0.188533	4.152345	6.077888	0.007354	0.020045	36.69	97.39	0.00	689.58	2400	14.347	7.6326	57.084
